pdb_id;experimental method;resolution;number of models;nbr of chain;chain:length;HETATM:Occ;chn:UniProtId:pos
6RNU;X-RAY DIFFRACTION;2.4;NA;2;A:142/B:142;BR:1/KBH:2;A:Q07817:1-209
2YXJ;X-RAY DIFFRACTION;2.2;NA;2;A:137/B:142;CL:1/GOL:1/N3C:2;A:Q07817:1-44
3SPF;X-RAY DIFFRACTION;1.7;NA;1;A:142;B50:1/GOL:4;A:Q07817:1-44
4QVF;X-RAY DIFFRACTION;1.53;NA;2;A:141/B:21;NA;A:Q07817:1-209
4EHR;X-RAY DIFFRACTION;2.09;NA;1;A:139;IMD:1/0Q5:1;A:Q07817:1-209
4PPI;X-RAY DIFFRACTION;2.85;NA;1;A:135;GOL:1;A:Q07817:1-209
6VWC;X-RAY DIFFRACTION;1.6;NA;2;A:139/B:139;RQ7:2;A:Q07817:1-25
7LH7;X-RAY DIFFRACTION;1.41;NA;2;A:154/B:135;XZM:2;A:Q07817:1-25
6VWC;X-RAY DIFFRACTION;1.6;NA;2;A:139/B:139;RQ7:2;A:Q07817:1-25
4QVX;X-RAY DIFFRACTION;2.1;NA;2;A:136/B:136;3CQ:2;A:Q07817:1-23
4QVX;X-RAY DIFFRACTION;2.1;NA;2;A:136/B:136;3CQ:2;A:Q07817:1-23
7LH7;X-RAY DIFFRACTION;1.41;NA;2;A:154/B:135;XZM:2;A:Q07817:1-25
4HNJ;X-RAY DIFFRACTION;2.9;NA;3;A:142/B:130/C:22;NA;A:Q07817:1-209
6UVG;X-RAY DIFFRACTION;2.1;NA;12;A:145/B:144/C:138/D:140/E:140/F:141/G:141/H:142/I:138/J:133/K:142/L:140;SO4:8/QHP:12/EDO:5;A:Q07817:1-26
4BPK;X-RAY DIFFRACTION;1.76;NA;4;A:139/B:138/C:13/D:13;B3E:2/HT7:2/CD:15/EDO:2/B3Q:2/NH2:2/HR7:2/B3D:2/AHP:2/ACE:1/B3A:2;A:Q07817:1-26
6HJL;X-RAY DIFFRACTION;2.2;NA;8;A:140/B:138/C:90/D:90/E:137/F:137/H:90/G:88;NA;A:Q07817:83-197
6UVF;X-RAY DIFFRACTION;2.24;NA;12;A:145/B:144/C:142/D:144/E:139/F:140/G:139/H:142/I:138/J:144/K:147/L:140;SO4:22/EDO:7/QHS:12;A:Q07817:1-26
6UVF;X-RAY DIFFRACTION;2.24;NA;12;A:145/B:144/C:142/D:144/E:139/F:140/G:139/H:142/I:138/J:144/K:147/L:140;SO4:22/EDO:7/QHS:12;A:Q07817:1-26
4BPK;X-RAY DIFFRACTION;1.76;NA;4;A:139/B:138/C:13/D:13;B3E:2/HT7:2/CD:15/EDO:2/B3Q:2/NH2:2/HR7:2/B3D:2/AHP:2/ACE:1/B3A:2;A:Q07817:1-26
6UVF;X-RAY DIFFRACTION;2.24;NA;12;A:145/B:144/C:142/D:144/E:139/F:140/G:139/H:142/I:138/J:144/K:147/L:140;SO4:22/EDO:7/QHS:12;A:Q07817:1-26
6UVG;X-RAY DIFFRACTION;2.1;NA;12;A:145/B:144/C:138/D:140/E:140/F:141/G:141/H:142/I:138/J:133/K:142/L:140;SO4:8/QHP:12/EDO:5;A:Q07817:1-26
3FDL;X-RAY DIFFRACTION;1.78;NA;2;A:143/B:25;NA;A:Q07817:1-26
2YQ6;X-RAY DIFFRACTION;1.8;NA;2;A:145/B:16;NH2:1/MK8:2/GOL:7;A:Q07817:1-26
2YQ7;X-RAY DIFFRACTION;1.9;NA;2;A:145/B:18;NH2:1/ACE:1/GOL:1;A:Q07817:1-26
4C52;X-RAY DIFFRACTION;2.05;NA;2;A:145/B:145;SO4:7/X0D:2/EDO:12;A:Q07817:1-26
4C5D;X-RAY DIFFRACTION;2.3;NA;2;A:145/B:145;SO4:6/X0R:2/EDO:10;A:Q07817:1-26
4TUH;X-RAY DIFFRACTION;1.8;NA;8;A:144/B:145/C:142/D:141/E:140/F:146/G:141/H:143;38H:8/EDO:14/ACT:1;A:Q07817:1-26
6UVF;X-RAY DIFFRACTION;2.24;NA;12;A:145/B:144/C:142/D:144/E:139/F:140/G:139/H:142/I:138/J:144/K:147/L:140;SO4:22/EDO:7/QHS:12;A:Q07817:1-26
6UVF;X-RAY DIFFRACTION;2.24;NA;12;A:145/B:144/C:142/D:144/E:139/F:140/G:139/H:142/I:138/J:144/K:147/L:140;SO4:22/EDO:7/QHS:12;A:Q07817:1-26
6UVG;X-RAY DIFFRACTION;2.1;NA;12;A:145/B:144/C:138/D:140/E:140/F:141/G:141/H:142/I:138/J:133/K:142/L:140;SO4:8/QHP:12/EDO:5;A:Q07817:1-26
7JGW;X-RAY DIFFRACTION;1.3;NA;1;A:145;V9S:1;A:Q07817:1-26
4TUH;X-RAY DIFFRACTION;1.8;NA;8;A:144/B:145/C:142/D:141/E:140/F:146/G:141/H:143;38H:8/EDO:14/ACT:1;A:Q07817:1-26
6UVF;X-RAY DIFFRACTION;2.24;NA;12;A:145/B:144/C:142/D:144/E:139/F:140/G:139/H:142/I:138/J:144/K:147/L:140;SO4:22/EDO:7/QHS:12;A:Q07817:1-26
6UVF;X-RAY DIFFRACTION;2.24;NA;12;A:145/B:144/C:142/D:144/E:139/F:140/G:139/H:142/I:138/J:144/K:147/L:140;SO4:22/EDO:7/QHS:12;A:Q07817:1-26
6UVG;X-RAY DIFFRACTION;2.1;NA;12;A:145/B:144/C:138/D:140/E:140/F:141/G:141/H:142/I:138/J:133/K:142/L:140;SO4:8/QHP:12/EDO:5;A:Q07817:1-26
6UVD;X-RAY DIFFRACTION;2.15;NA;2;A:145/B:138;XOU:2/EDO:11/SO4:3;A:Q07817:1-26
6UVF;X-RAY DIFFRACTION;2.24;NA;12;A:145/B:144/C:142/D:144/E:139/F:140/G:139/H:142/I:138/J:144/K:147/L:140;SO4:22/EDO:7/QHS:12;A:Q07817:1-26
4A1W;X-RAY DIFFRACTION;2.5;NA;8;A:141/B:144/C:138/D:141/P:12/Q:13/R:12/S:13;BIL:4/B3E:4/3FB:4/B3Y:4/HT7:4/NH2:4;A:Q07817:1-26
3INQ;X-RAY DIFFRACTION;2.0;NA;2;A:138/B:140;CL:1/EDO:11/X0J:2;A:Q07817:1-26
5C3G;X-RAY DIFFRACTION;2.45;NA;2;A:138/B:14;NLE:2;A:Q64373:1-26
6UVF;X-RAY DIFFRACTION;2.24;NA;12;A:145/B:144/C:142/D:144/E:139/F:140/G:139/H:142/I:138/J:144/K:147/L:140;SO4:22/EDO:7/QHS:12;A:Q07817:1-26
6UVF;X-RAY DIFFRACTION;2.24;NA;12;A:145/B:144/C:142/D:144/E:139/F:140/G:139/H:142/I:138/J:144/K:147/L:140;SO4:22/EDO:7/QHS:12;A:Q07817:1-26
3FDM;X-RAY DIFFRACTION;2.26;NA;6;A:147/B:146/C:141/D:10/E:10/F:10;EDO:11/XPC:3/NH2:3/B3L:3/ACE:1/XCP:9;A:Q07817:1-26
5VX3;X-RAY DIFFRACTION;1.95;NA;8;A:140/B:20/C:141/D:21/E:146/F:21/G:146/H:22;EDO:13/9R1:4;A:Q07817:1-26
5VX3;X-RAY DIFFRACTION;1.95;NA;8;A:140/B:20/C:141/D:21/E:146/F:21/G:146/H:22;EDO:13/9R1:4;A:Q07817:1-26
3ZLR;X-RAY DIFFRACTION;2.03;NA;2;A:146/B:144;SO4:3/X0B:2/EDO:2;A:Q07817:1-26
3IO8;X-RAY DIFFRACTION;2.3;NA;4;A:142/B:23/C:146/D:19;ZN:3;A:Q07817:1-26
6UVH;X-RAY DIFFRACTION;2.19;NA;4;A:141/B:140/C:140/D:140;SO4:2/EDO:1/QHJ:4;A:Q07817:1-26
6UVG;X-RAY DIFFRACTION;2.1;NA;12;A:145/B:144/C:138/D:140/E:140/F:141/G:141/H:142/I:138/J:133/K:142/L:140;SO4:8/QHP:12/EDO:5;A:Q07817:1-26
5VX3;X-RAY DIFFRACTION;1.95;NA;8;A:140/B:20/C:141/D:21/E:146/F:21/G:146/H:22;EDO:13/9R1:4;A:Q07817:1-26
4TUH;X-RAY DIFFRACTION;1.8;NA;8;A:144/B:145/C:142/D:141/E:140/F:146/G:141/H:143;38H:8/EDO:14/ACT:1;A:Q07817:1-26
4A1W;X-RAY DIFFRACTION;2.5;NA;8;A:141/B:144/C:138/D:141/P:12/Q:13/R:12/S:13;BIL:4/B3E:4/3FB:4/B3Y:4/HT7:4/NH2:4;A:Q07817:1-26
6UVG;X-RAY DIFFRACTION;2.1;NA;12;A:145/B:144/C:138/D:140/E:140/F:141/G:141/H:142/I:138/J:133/K:142/L:140;SO4:8/QHP:12/EDO:5;A:Q07817:1-26
6HJL;X-RAY DIFFRACTION;2.2;NA;8;A:140/B:138/C:90/D:90/E:137/F:137/H:90/G:88;NA;A:Q07817:83-197
6HJL;X-RAY DIFFRACTION;2.2;NA;8;A:140/B:138/C:90/D:90/E:137/F:137/H:90/G:88;NA;A:Q07817:83-197
6UVG;X-RAY DIFFRACTION;2.1;NA;12;A:145/B:144/C:138/D:140/E:140/F:141/G:141/H:142/I:138/J:133/K:142/L:140;SO4:8/QHP:12/EDO:5;A:Q07817:1-26
6UVD;X-RAY DIFFRACTION;2.15;NA;2;A:145/B:138;XOU:2/EDO:11/SO4:3;A:Q07817:1-26
6DCN;X-RAY DIFFRACTION;2.44;NA;4;A:145/B:145/D:20/C:20;TPO:2;A:Q07817:1-26
6DCN;X-RAY DIFFRACTION;2.44;NA;4;A:145/B:145/D:20/C:20;TPO:2;A:Q07817:1-26
6UVH;X-RAY DIFFRACTION;2.19;NA;4;A:141/B:140/C:140/D:140;SO4:2/EDO:1/QHJ:4;A:Q07817:1-26
7JGV;X-RAY DIFFRACTION;2.05;NA;2;A:140/B:141;V9S:2;A:Q07817:1-26
6UVH;X-RAY DIFFRACTION;2.19;NA;4;A:141/B:140/C:140/D:140;SO4:2/EDO:1/QHJ:4;A:Q07817:1-26
6UVH;X-RAY DIFFRACTION;2.19;NA;4;A:141/B:140/C:140/D:140;SO4:2/EDO:1/QHJ:4;A:Q07817:1-26
6UVG;X-RAY DIFFRACTION;2.1;NA;12;A:145/B:144/C:138/D:140/E:140/F:141/G:141/H:142/I:138/J:133/K:142/L:140;SO4:8/QHP:12/EDO:5;A:Q07817:1-26
4TUH;X-RAY DIFFRACTION;1.8;NA;8;A:144/B:145/C:142/D:141/E:140/F:146/G:141/H:143;38H:8/EDO:14/ACT:1;A:Q07817:1-26
6UVF;X-RAY DIFFRACTION;2.24;NA;12;A:145/B:144/C:142/D:144/E:139/F:140/G:139/H:142/I:138/J:144/K:147/L:140;SO4:22/EDO:7/QHS:12;A:Q07817:1-26
3INQ;X-RAY DIFFRACTION;2.0;NA;2;A:138/B:140;CL:1/EDO:11/X0J:2;A:Q07817:1-26
2YJ1;X-RAY DIFFRACTION;2.24;NA;4;A:151/B:15/C:140/D:15;B3E:2/HT7:2/B3Q:2/NH2:1/B3D:2/HR7:2/ACE:1/B3A:2;A:Q07817:1-26
5VX3;X-RAY DIFFRACTION;1.95;NA;8;A:140/B:20/C:141/D:21/E:146/F:21/G:146/H:22;EDO:13/9R1:4;A:Q07817:1-26
3FDM;X-RAY DIFFRACTION;2.26;NA;6;A:147/B:146/C:141/D:10/E:10/F:10;EDO:11/XPC:3/NH2:3/B3L:3/ACE:1/XCP:9;A:Q07817:1-26
2YJ1;X-RAY DIFFRACTION;2.24;NA;4;A:151/B:15/C:140/D:15;B3E:2/HT7:2/B3Q:2/NH2:1/B3D:2/HR7:2/ACE:1/B3A:2;A:Q07817:1-26
4TUH;X-RAY DIFFRACTION;1.8;NA;8;A:144/B:145/C:142/D:141/E:140/F:146/G:141/H:143;38H:8/EDO:14/ACT:1;A:Q07817:1-26
4A1W;X-RAY DIFFRACTION;2.5;NA;8;A:141/B:144/C:138/D:141/P:12/Q:13/R:12/S:13;BIL:4/B3E:4/3FB:4/B3Y:4/HT7:4/NH2:4;A:Q07817:1-26
6UVG;X-RAY DIFFRACTION;2.1;NA;12;A:145/B:144/C:138/D:140/E:140/F:141/G:141/H:142/I:138/J:133/K:142/L:140;SO4:8/QHP:12/EDO:5;A:Q07817:1-26
6UVG;X-RAY DIFFRACTION;2.1;NA;12;A:145/B:144/C:138/D:140/E:140/F:141/G:141/H:142/I:138/J:133/K:142/L:140;SO4:8/QHP:12/EDO:5;A:Q07817:1-26
4TUH;X-RAY DIFFRACTION;1.8;NA;8;A:144/B:145/C:142/D:141/E:140/F:146/G:141/H:143;38H:8/EDO:14/ACT:1;A:Q07817:1-26
6UVC;X-RAY DIFFRACTION;1.9;NA;2;A:140/B:142;SO4:3/XOY:2/EDO:9;A:Q07817:1-26
6DCO;X-RAY DIFFRACTION;2.2;NA;4;A:146/B:146/C:20/D:21;CL:3;A:Q07817:1-26
3IO8;X-RAY DIFFRACTION;2.3;NA;4;A:142/B:23/C:146/D:19;ZN:3;A:Q07817:1-26
6UVE;X-RAY DIFFRACTION;2.87;NA;3;A:133/B:134/C:148;EDO:1/QHV:3;A:Q07817:1-26
4CIN;X-RAY DIFFRACTION;2.69;NA;4;A:140/B:134/C:23/D:19;CA:2/EDO:6/EPE:2;A:Q07817:1-26
6DCO;X-RAY DIFFRACTION;2.2;NA;4;A:146/B:146/C:20/D:21;CL:3;A:Q07817:1-26
4C52;X-RAY DIFFRACTION;2.05;NA;2;A:145/B:145;SO4:7/X0D:2/EDO:12;A:Q07817:1-26
4C5D;X-RAY DIFFRACTION;2.3;NA;2;A:145/B:145;SO4:6/X0R:2/EDO:10;A:Q07817:1-26
4TUH;X-RAY DIFFRACTION;1.8;NA;8;A:144/B:145/C:142/D:141/E:140/F:146/G:141/H:143;38H:8/EDO:14/ACT:1;A:Q07817:1-26
6UVG;X-RAY DIFFRACTION;2.1;NA;12;A:145/B:144/C:138/D:140/E:140/F:141/G:141/H:142/I:138/J:133/K:142/L:140;SO4:8/QHP:12/EDO:5;A:Q07817:1-26
7JGV;X-RAY DIFFRACTION;2.05;NA;2;A:140/B:141;V9S:2;A:Q07817:1-26
4A1W;X-RAY DIFFRACTION;2.5;NA;8;A:141/B:144/C:138/D:141/P:12/Q:13/R:12/S:13;BIL:4/B3E:4/3FB:4/B3Y:4/HT7:4/NH2:4;A:Q07817:1-26
4TUH;X-RAY DIFFRACTION;1.8;NA;8;A:144/B:145/C:142/D:141/E:140/F:146/G:141/H:143;38H:8/EDO:14/ACT:1;A:Q07817:1-26
6UVC;X-RAY DIFFRACTION;1.9;NA;2;A:140/B:142;SO4:3/XOY:2/EDO:9;A:Q07817:1-26
6HJL;X-RAY DIFFRACTION;2.2;NA;8;A:140/B:138/C:90/D:90/E:137/F:137/H:90/G:88;NA;A:Q07817:83-197
4CIN;X-RAY DIFFRACTION;2.69;NA;4;A:140/B:134/C:23/D:19;CA:2/EDO:6/EPE:2;A:Q07817:1-26
3R85;X-RAY DIFFRACTION;1.95;NA;8;A:138/B:138/C:139/D:139/E:20/F:21/G:19/H:19;SO4:1;A:Q07817:1-26
3R85;X-RAY DIFFRACTION;1.95;NA;8;A:138/B:138/C:139/D:139/E:20/F:21/G:19/H:19;SO4:1;A:Q07817:1-26
6UVG;X-RAY DIFFRACTION;2.1;NA;12;A:145/B:144/C:138/D:140/E:140/F:141/G:141/H:142/I:138/J:133/K:142/L:140;SO4:8/QHP:12/EDO:5;A:Q07817:1-26
1R2I;X-RAY DIFFRACTION;2.0;NA;1;A:143;NA;A:Q07817:1-211
7CA4;X-RAY DIFFRACTION;2.7;NA;1;A:143;SO4:3;A:Q07817:1-211
4HNJ;X-RAY DIFFRACTION;2.9;NA;3;A:142/B:130/C:22;NA;A:Q07817:1-209
